Year,State,Opioids,Cocaine,Heroin,state_name
2016,AK,856,112,206,Alaska
2016,AR,0,0,0,Arkansas
2016,AZ,0,0,0,Arizona
2016,CA,0,0,0,California
2016,CO,0,0,0,Colorado
2016,CT,6591,2424,3129,Connecticut
2016,DE,0,0,0,Delaware
2016,FL,0,0,0,Florida
2016,GA,8077,2200,2241,Georgia
2016,HI,653,0,63,Hawaii
2016,IA,1347,146,194,Iowa
2016,ID,0,0,0,Idaho
2016,IL,11654,5063,6685,Illinois
2016,IN,0,0,0,Indiana
2016,KS,0,0,0,Kansas
2016,KY,0,0,0,Kentucky
2016,MA,17382,5936,6381,Massachusetts
2016,MD,13737,2716,3663,Maryland
2016,ME,2923,555,568,Maine
2016,MI,0,0,0,Michigan
2016,MN,0,0,0,Minnesota
2016,MO,0,0,0,Missouri
2016,MS,0,0,0,Mississippi
2016,MT,0,0,0,Montana
2016,NC,12404,5034,5206,North Carolina
2016,NH,4515,551,543,New Hampshire
2016,NJ,0,0,0,New Jersey
2016,NM,2776,632,930,New Mexico
2016,NV,4005,496,651,Nevada
2016,NY,15165,5208,6106,New York
2016,OH,27915,10777,12464,Ohio
2016,OK,4485,321,375,Oklahoma
2016,OR,2508,299,560,Oregon
2016,RI,2854,1217,1001,Rhode Island
2016,SC,5866,1503,1433,South Carolina
2016,SD,135,0,0,South Dakota
2016,TN,11450,2642,2691,Tennessee
2016,TX,0,0,0,Texas
2016,UT,5419,614,931,Utah
2016,VA,8947,2681,3176,Virginia
2016,VT,816,206,276,Vermont
2016,WA,5396,1037,1708,Washington
2016,WI,5675,1499,2103,Wisconsin
2016,WV,6852,1474,1787,West Virginia
2016,WY,0,0,0,Wyoming
2017,AK,729,224,329,Alaska
2017,AR,0,0,0,Arkansas
2017,AZ,3963,866,1281,Arizona
2017,CA,0,0,0,California
2017,CO,0,0,0,Colorado
2017,CT,9380,3310,4038,Connecticut
2017,DE,0,0,0,Delaware
2017,FL,0,0,0,Florida
2017,GA,9723,2976,2966,Georgia
2017,HI,269,0,37,Hawaii
2017,IA,1806,200,360,Iowa
2017,ID,0,0,0,Idaho
2017,IL,17382,7820,9951,Illinois
2017,IN,0,0,0,Indiana
2017,KS,0,0,0,Kansas
2017,KY,0,0,0,Kentucky
2017,MA,20853,7426,7015,Massachusetts
2017,MD,21609,4982,5723,Maryland
2017,ME,3632,875,848,Maine
2017,MI,0,0,0,Michigan
2017,MN,0,0,0,Minnesota
2017,MO,833,141,312,Missouri
2017,MS,0,0,0,Mississippi
2017,MT,0,0,0,Montana
2017,NC,17182,7373,7087,North Carolina
2017,NH,4928,586,492,New Hampshire
2017,NJ,0,0,0,New Jersey
2017,NM,2904,660,1057,New Mexico
2017,NV,3688,661,853,Nevada
2017,NY,20901,7491,8090,New York
2017,OH,45007,17591,16894,Ohio
2017,OK,4431,460,540,Oklahoma
2017,OR,2478,402,726,Oregon
2017,RI,3210,1347,959,Rhode Island
2017,SC,7239,2348,2092,South Carolina
2017,SD,377,0,20,South Dakota
2017,TN,12694,3576,3553,Tennessee
2017,TX,0,0,0,Texas
2017,UT,4409,548,977,Utah
2017,VA,11731,3547,4322,Virginia
2017,VT,1143,368,429,Vermont
2017,WA,5129,1125,1950,Washington
2017,WI,7788,2466,3277,Wisconsin
2017,WV,9344,2205,2491,West Virginia
2017,WY,325,0,0,Wyoming
2018,AK,755,100,188,Alaska
2018,AR,0,0,0,Arkansas
2018,AZ,8555,1898,2644,Arizona
2018,CA,0,0,0,California
2018,CO,1803,627,729,Colorado
2018,CT,10410,3549,3921,Connecticut
2018,DE,2906,1374,1383,Delaware
2018,FL,0,0,0,Florida
2018,GA,9008,3223,3272,Georgia
2018,HI,386,119,119,Hawaii
2018,IA,1769,208,358,Iowa
2018,ID,0,0,0,Idaho
2018,IL,22042,9363,10893,Illinois
2018,IN,0,0,0,Indiana
2018,KS,0,0,0,Kansas
2018,KY,10616,1631,1744,Kentucky
2018,MA,22983,8919,7768,Massachusetts
2018,MD,24569,8199,7392,Maryland
2018,ME,3826,1139,1039,Maine
2018,MI,5577,2322,2322,Michigan
2018,MN,0,0,0,Minnesota
2018,MO,4786,645,833,Missouri
2018,MS,0,0,0,Mississippi
2018,MT,0,0,0,Montana
2018,NC,19605,8583,7854,North Carolina
2018,NH,4988,556,441,New Hampshire
2018,NJ,15449,5657,6436,New Jersey
2018,NM,2850,632,964,New Mexico
2018,NV,3753,655,854,Nevada
2018,NY,20412,8045,8122,New York
2018,OH,39873,15411,13459,Ohio
2018,OK,3150,537,614,Oklahoma
2018,OR,2724,581,954,Oregon
2018,RI,3236,1489,1057,Rhode Island
2018,SC,8406,2850,2505,South Carolina
2018,SD,302,0,10,South Dakota
2018,TN,13747,3369,3511,Tennessee
2018,TX,829,760,655,Texas
2018,UT,4481,640,1040,Utah
2018,VA,12471,4540,5219,Virginia
2018,VT,1299,588,578,Vermont
2018,WA,5557,1373,2206,Washington
2018,WI,8525,3325,3692,Wisconsin
2018,WV,8927,2236,2456,West Virginia
2018,WY,449,0,0,Wyoming
2019,AK,662,116,317,Alaska
2019,AR,0,0,0,Arkansas
2019,AZ,11073,1940,2883,Arizona
2019,CA,15919,5468,6552,California
2019,CO,4127,1381,1989,Colorado
2019,CT,11706,3997,4017,Connecticut
2019,DE,4042,1774,1596,Delaware
2019,FL,11037,4448,2919,Florida
2019,GA,7896,3442,3610,Georgia
2019,HI,551,133,167,Hawaii
2019,IA,1513,124,271,Iowa
2019,ID,0,0,0,Idaho
2019,IL,22557,9375,10632,Illinois
2019,IN,10259,2536,2710,Indiana
2019,KS,677,150,170,Kansas
2019,KY,11274,1395,1588,Kentucky
2019,MA,22936,8782,6897,Massachusetts
2019,MD,24706,8057,5598,Maryland
2019,ME,3315,1144,916,Maine
2019,MI,13810,5634,5033,Michigan
2019,MN,0,0,0,Minnesota
2019,MO,12529,1682,2365,Missouri
2019,MS,1819,370,480,Mississippi
2019,MT,0,0,0,Montana
2019,NC,19225,9045,8208,North Carolina
2019,NH,4481,869,434,New Hampshire
2019,NJ,28110,9972,11683,New Jersey
2019,NM,3176,751,1329,New Mexico
2019,NV,3645,626,1114,Nevada
2019,NY,19385,7988,7342,New York
2019,OH,38654,14055,10703,Ohio
2019,OK,2458,459,626,Oklahoma
2019,OR,2460,601,1174,Oregon
2019,RI,3167,1767,1009,Rhode Island
2019,SC,9034,2792,2555,South Carolina
2019,SD,370,0,0,South Dakota
2019,TN,15812,3609,4039,Tennessee
2019,TX,9526,8704,8550,Texas
2019,UT,3986,570,1130,Utah
2019,VA,13130,4576,5593,Virginia
2019,VT,1258,574,595,Vermont
2019,WA,5916,1526,2777,Washington
2019,WI,8927,3404,3613,Wisconsin
2019,WV,7898,1757,1814,West Virginia
2019,WY,448,0,10,Wyoming
2020,AK,839,125,241,Alaska
2020,AR,0,0,0,Arkansas
2020,AZ,17659,2153,2459,Arizona
2020,CA,45434,13280,12733,California
2020,CO,7878,2402,2516,Colorado
2020,CT,14318,5161,4299,Connecticut
2020,DE,5024,1972,1695,Delaware
2020,FL,47007,18314,12457,Florida
2020,GA,10869,3843,4062,Georgia
2020,HI,529,189,213,Hawaii
2020,IA,2181,309,417,Iowa
2020,ID,306,0,60,Idaho
2020,IL,30379,12711,13012,Illinois
2020,IN,17965,3466,3260,Indiana
2020,KS,2119,401,404,Kansas
2020,KY,16112,1838,1741,Kentucky
2020,MA,24355,10516,7520,Massachusetts
2020,MD,26992,8933,5925,Maryland
2020,ME,4459,1488,1148,Maine
2020,MI,12274,4077,3706,Michigan
2020,MN,0,0,0,Minnesota
2020,MO,15025,2229,2215,Missouri
2020,MS,3276,650,733,Mississippi
2020,MT,442,0,111,Montana
2020,NC,24526,10766,9194,North Carolina
2020,NH,4339,745,429,New Hampshire
2020,NJ,30502,10945,10803,New Jersey
2020,NM,4468,1286,1720,New Mexico
2020,NV,4479,1002,1249,Nevada
2020,NY,24674,10496,8729,New York
2020,OH,46472,15272,10781,Ohio
2020,OK,2377,563,748,Oklahoma
2020,OR,3204,778,1351,Oregon
2020,RI,3484,2032,1216,Rhode Island
2020,SC,12785,3842,3415,South Carolina
2020,SD,402,0,0,South Dakota
2020,TN,23219,4803,4546,Tennessee
2020,TX,13375,11259,10419,Texas
2020,UT,3846,474,990,Utah
2020,VA,17989,6021,6163,Virginia
2020,VT,1397,686,568,Vermont
2020,WA,8568,2084,2986,Washington
2020,WI,12609,4748,4153,Wisconsin
2020,WV,10587,1550,1647,West Virginia
2020,WY,557,0,36,Wyoming
2021,AK,1667,210,478,Alaska
2021,AR,989,170,117,Arkansas
2021,AZ,22359,2310,2028,Arizona
2021,CA,75509,15833,13151,California
2021,CO,12051,2857,2652,Colorado
2021,CT,15844,5575,3552,Connecticut
2021,DE,4913,1969,1364,Delaware
2021,FL,71243,25872,15524,Florida
2021,GA,16732,4667,4335,Georgia
2021,HI,802,169,214,Hawaii
2021,IA,2731,358,429,Iowa
2021,ID,1761,0,129,Idaho
2021,IL,34250,14036,11993,Illinois
2021,IN,23664,4328,2745,Indiana
2021,KS,3884,699,535,Kansas
2021,KY,22069,2458,1609,Kentucky
2021,MA,25545,12476,7068,Massachusetts
2021,MD,30596,9736,5175,Maryland
2021,ME,5734,1473,876,Maine
2021,MI,28395,9573,6235,Michigan
2021,MN,7787,1230,1063,Minnesota
2021,MO,17681,2801,2077,Missouri
2021,MS,5478,929,768,Mississippi
2021,MT,873,0,158,Montana
2021,NC,34666,13763,8433,North Carolina
2021,NH,4113,419,221,New Hampshire
2021,NJ,30517,11263,8315,New Jersey
2021,NM,6994,1481,1811,New Mexico
2021,NV,6377,1196,1458,Nevada
2021,NY,30426,11868,8011,New York
2021,OH,53511,16156,9053,Ohio
2021,OK,3750,592,633,Oklahoma
2021,OR,6057,1030,1828,Oregon
2021,RI,4189,2389,1168,Rhode Island
2021,SC,18451,4568,3201,South Carolina
2021,SD,435,0,0,South Dakota
2021,TN,33242,6396,4378,Tennessee
2021,TX,23250,13470,11200,Texas
2021,UT,4145,572,1153,Utah
2021,VA,24676,7868,6396,Virginia
2021,VT,2297,1029,697,Vermont
2021,WA,13846,2268,3370,Washington
2021,WI,15788,5263,3659,Wisconsin
2021,WV,15109,1713,1320,West Virginia
2021,WY,628,0,73,Wyoming
2022,AK,1043,30,237,Alaska
2022,AR,2286,362,128,Arkansas
2022,AZ,11656,1316,766,Arizona
2022,CA,35129,7055,4867,California
2022,CO,7289,1725,1102,Colorado
2022,CT,8260,3374,1504,Connecticut
2022,DE,2613,1162,639,Delaware
2022,FL,35710,13692,5604,Florida
2022,GA,10065,3114,2099,Georgia
2022,HI,507,135,104,Hawaii
2022,IA,1548,231,203,Iowa
2022,ID,1389,30,44,Idaho
2022,IL,19035,8421,5655,Illinois
2022,IN,12751,2614,1108,Indiana
2022,KS,2572,568,288,Kansas
2022,KY,11016,1424,671,Kentucky
2022,MA,13414,7125,2902,Massachusetts
2022,MD,14015,5522,1987,Maryland
2022,ME,3275,995,371,Maine
2022,MI,14302,5463,2582,Michigan
2022,MN,5780,985,605,Minnesota
2022,MO,9411,1712,782,Missouri
2022,MS,2931,525,283,Mississippi
2022,MT,647,50,46,Montana
2022,NC,15717,6998,3305,North Carolina
2022,NH,2386,275,88,New Hampshire
2022,NJ,15513,6520,3636,New Jersey
2022,NM,4352,859,705,New Mexico
2022,NV,3178,562,672,Nevada
2022,NY,15245,6596,3094,New York
2022,OH,25608,9237,3565,Ohio
2022,OK,2975,373,287,Oklahoma
2022,OR,4105,536,1031,Oregon
2022,RI,2342,1347,443,Rhode Island
2022,SC,10370,2935,1363,South Carolina
2022,SD,261,0,0,South Dakota
2022,TN,17899,3807,1731,Tennessee
2022,TX,13742,7205,5043,Texas
2022,UT,2174,266,652,Utah
2022,VA,12604,4560,2830,Virginia
2022,VT,1355,688,310,Vermont
2022,WA,9360,1446,1488,Washington
2022,WI,8586,3581,1773,Wisconsin
2022,WV,6887,898,426,West Virginia
2022,WY,394,0,12,Wyoming
